artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,date,rank,last-week,peak-rank,weeks-on-board
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-09-02,96,90.0,9,20
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-08-26,90,85.0,9,19
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-08-19,85,77.0,9,18
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-08-12,77,49.0,9,17
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-08-05,49,35.0,9,16
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-07-29,35,24.0,9,15
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-07-22,24,17.0,9,14
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-07-15,17,15.0,9,13
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-07-08,15,14.0,9,12
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-07-01,14,10.0,9,11
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-06-24,10,9.0,9,10
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-06-17,9,9.0,9,9
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-06-10,9,12.0,9,8
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-06-03,12,13.0,12,7
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-05-27,13,15.0,13,6
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-05-20,15,19.0,15,5
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-05-13,19,26.0,19,4
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-05-06,26,38.0,26,3
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-04-29,38,67.0,38,2
Britney Spears,Oops!...I Did It Again,3.52,False,2000,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,pop,2000-04-22,67,,67,1
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-11-04,47,48.0,2,53
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-10-28,48,49.0,2,52
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-10-21,49,49.0,2,51
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-10-14,49,42.0,2,50
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-10-07,42,39.0,2,49
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-09-30,39,38.0,2,48
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-09-23,38,31.0,2,47
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-09-16,31,31.0,2,46
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-09-09,31,30.0,2,45
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-09-02,30,24.0,2,44
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-08-26,24,22.0,2,43
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-08-19,22,23.0,2,42
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-08-12,23,22.0,2,41
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-08-05,22,18.0,2,40
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-07-29,18,14.0,2,39
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-07-22,14,13.0,2,38
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-07-15,13,11.0,2,37
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-07-08,11,8.0,2,36
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-07-01,8,5.0,2,35
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-06-24,5,2.0,2,34
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-06-17,2,4.0,2,33
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-06-10,4,3.0,2,32
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-06-03,3,2.0,2,31
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-05-27,2,2.0,2,30
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-05-20,2,3.0,2,29
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-05-13,3,3.0,2,28
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-05-06,3,2.0,2,27
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-04-29,2,2.0,2,26
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-04-22,2,3.0,2,25
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-04-15,3,3.0,3,24
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-04-08,3,3.0,3,23
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-04-01,3,4.0,3,22
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-03-25,4,4.0,3,21
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-03-18,4,3.0,3,20
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-03-11,3,3.0,3,19
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-03-04,3,5.0,3,18
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-02-26,5,21.0,5,17
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-02-19,21,21.0,21,16
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-02-12,21,21.0,21,15
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-02-05,21,23.0,21,14
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-01-29,23,23.0,23,13
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-01-22,23,30.0,23,12
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-01-15,30,43.0,26,11
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-01-08,43,26.0,26,10
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,2000-01-01,26,28.0,26,9
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-12-25,28,28.0,28,8
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-12-18,28,35.0,28,7
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-12-11,35,42.0,35,6
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-12-04,42,51.0,42,5
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-11-27,51,62.0,51,4
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-11-20,62,68.0,62,3
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-11-13,68,81.0,68,2
Faith Hill,Breathe,4.18,False,1999,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,pop,1999-11-06,81,,81,1
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-12-23,87,85.0,33,20
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-12-16,85,84.0,33,19
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-12-09,84,61.0,33,18
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-12-02,61,58.0,33,17
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-11-25,58,51.0,33,16
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-11-18,51,44.0,33,15
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-11-11,44,39.0,33,14
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-11-04,39,34.0,33,13
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-10-28,34,35.0,33,12
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-10-21,35,34.0,33,11
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-10-14,34,34.0,33,10
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-10-07,34,33.0,33,9
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-09-30,33,36.0,33,8
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-09-23,36,45.0,36,7
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-09-16,45,48.0,45,6
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-09-09,48,51.0,48,5
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-09-02,51,51.0,51,4
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-08-26,51,58.0,51,3
Bon Jovi,It's My Life,3.74,False,2000,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,rock,2000-08-19,58,64.0,58,2
